"team_name","season","buildupplayspeed","buildupplaydribbling","buildupplaydribblingclass","buildupplaypassing","buildupplaypassingclass","buildupplaypositioningclass","chancecreationpassing","chancecreationpassingclass","chancecreationcrossing","chancecreationcrossingclass","chancecreationshooting","chancecreationshootingclass","chancecreationpositioningclass","defencepressure","defencepressureclass","defenceaggression","defenceaggressionclass","defenceteamwidth","defenceteamwidthclass","defencedefenderlineclass","draws","wins","losses"
"Académica de Coimbra                                                                                ","2010",30,NULL,"Little                                            ",30,"Short                                             ","Organised                                         ",50,"Normal                                            ",60,"Normal                                            ",55,"Normal                                            ","Organised                                         ",30,"Deep                                              ",30,"Contain                                           ",30,"Narrow                                            ","Offside Trap                                      ","8","10","12"
"Académica de Coimbra                                                                                ","2011",30,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",50,"Normal                                            ",50,"Normal                                            ",55,"Normal                                            ","Organised                                         ",30,"Deep                                              ",45,"Press                                             ",65,"Normal                                            ","Cover                                             ","8","7","14"
"Académica de Coimbra                                                                                ","2012",45,NULL,"Little                                            ",44,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",57,"Normal                                            ",60,"Normal                                            ","Organised                                         ",52,"Medium                                            ",38,"Press                                             ",61,"Normal                                            ","Cover                                             ","13","3","13"
"Académica de Coimbra                                                                                ","2013",45,NULL,"Little                                            ",44,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",57,"Normal                                            ",60,"Normal                                            ","Organised                                         ",52,"Medium                                            ",38,"Press                                             ",61,"Normal                                            ","Cover                                             ","6","9","17"
"Académica de Coimbra                                                                                ","2014",52,53,"Normal                                            ",44,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",51,"Normal                                            ",60,"Normal                                            ","Organised                                         ",39,"Medium                                            ",38,"Press                                             ",61,"Normal                                            ","Cover                                             ","14","6","10"
"Académica de Coimbra                                                                                ","2015",53,53,"Normal                                            ",44,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",51,"Normal                                            ",60,"Normal                                            ","Organised                                         ",39,"Medium                                            ",38,"Press                                             ",61,"Normal                                            ","Cover                                             ","14","5","15"
"ADO Den Haag                                                                                        ","2010",30,NULL,"Little                                            ",35,"Mixed                                             ","Organised                                         ",30,"Safe                                              ",50,"Normal                                            ",65,"Normal                                            ","Organised                                         ",30,"Deep                                              ",30,"Contain                                           ",30,"Narrow                                            ","Cover                                             ","9","12","14"
"ADO Den Haag                                                                                        ","2011",53,NULL,"Little                                            ",53,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",67,"Lots                                              ",66,"Normal                                            ","Organised                                         ",46,"Medium                                            ",62,"Press                                             ",65,"Normal                                            ","Cover                                             ","4","14","14"
"ADO Den Haag                                                                                        ","2012",38,NULL,"Little                                            ",44,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",60,"Normal                                            ",44,"Normal                                            ","Organised                                         ",50,"Medium                                            ",58,"Press                                             ",62,"Normal                                            ","Cover                                             ","13","7","15"
"ADO Den Haag                                                                                        ","2013",38,NULL,"Little                                            ",47,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",55,"Normal                                            ",44,"Normal                                            ","Organised                                         ",50,"Medium                                            ",58,"Press                                             ",52,"Normal                                            ","Cover                                             ","7","9","18"
"ADO Den Haag                                                                                        ","2014",58,47,"Normal                                            ",55,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",52,"Normal                                            ",44,"Normal                                            ","Organised                                         ",57,"Medium                                            ",50,"Press                                             ",52,"Normal                                            ","Cover                                             ","12","10","11"
"ADO Den Haag                                                                                        ","2015",56,40,"Normal                                            ",66,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",52,"Normal                                            ",38,"Normal                                            ","Organised                                         ",40,"Medium                                            ",50,"Press                                             ",52,"Normal                                            ","Cover                                             ","11","10","13"
"Ajax                                                                                                ","2010",30,NULL,"Little                                            ",30,"Short                                             ","Free Form                                         ",50,"Normal                                            ",60,"Normal                                            ",70,"Lots                                              ","Organised                                         ",30,"Deep                                              ",30,"Contain                                           ",30,"Narrow                                            ","Cover                                             ","7","25","3"
"Ajax                                                                                                ","2011",40,NULL,"Little                                            ",38,"Mixed                                             ","Free Form                                         ",67,"Risky                                             ",65,"Normal                                            ",67,"Lots                                              ","Organised                                         ",65,"Medium                                            ",57,"Press                                             ",63,"Normal                                            ","Cover                                             ","8","21","4"
"Ajax                                                                                                ","2012",31,NULL,"Little                                            ",33,"Short                                             ","Organised                                         ",39,"Normal                                            ",64,"Normal                                            ",46,"Normal                                            ","Free Form                                         ",68,"High                                              ",65,"Press                                             ",60,"Normal                                            ","Cover                                             ","8","24","3"
"Ajax                                                                                                ","2013",35,NULL,"Little                                            ",33,"Short                                             ","Free Form                                         ",39,"Normal                                            ",52,"Normal                                            ",46,"Normal                                            ","Free Form                                         ",68,"High                                              ",65,"Press                                             ",50,"Normal                                            ","Cover                                             ","7","23","4"
"Ajax                                                                                                ","2014",40,40,"Normal                                            ",30,"Short                                             ","Organised                                         ",51,"Normal                                            ",55,"Normal                                            ",39,"Normal                                            ","Free Form                                         ",64,"Medium                                            ",53,"Press                                             ",64,"Normal                                            ","Cover                                             ","10","21","2"
"Ajax                                                                                                ","2015",35,43,"Normal                                            ",39,"Mixed                                             ","Organised                                         ",58,"Normal                                            ",55,"Normal                                            ",30,"Little                                            ","Free Form                                         ",64,"Medium                                            ",53,"Press                                             ",59,"Normal                                            ","Cover                                             ","7","22","5"
"UD Almería                                                                                          ","2010",65,NULL,"Little                                            ",45,"Mixed                                             ","Organised                                         ",45,"Normal                                            ",45,"Normal                                            ",70,"Lots                                              ","Organised                                         ",70,"High                                              ",65,"Press                                             ",30,"Narrow                                            ","Cover                                             ","15","9","15"
"UD Almería                                                                                          ","2011",55,NULL,"Little                                            ",53,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",54,"Normal                                            ",69,"Lots                                              ","Organised                                         ",58,"Medium                                            ",68,"Double                                            ",67,"Wide                                              ","Cover                                             ","5","4","13"
"UD Almería                                                                                          ","2012",42,NULL,"Little                                            ",70,"Long                                              ","Organised                                         ",57,"Normal                                            ",54,"Normal                                            ",40,"Normal                                            ","Organised                                         ",37,"Medium                                            ",53,"Press                                             ",45,"Normal                                            ","Cover                                             ","0","0","0"
"UD Almería                                                                                          ","2013",46,NULL,"Little                                            ",65,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",54,"Normal                                            ",40,"Normal                                            ","Organised                                         ",37,"Medium                                            ",53,"Press                                             ",45,"Normal                                            ","Cover                                             ","4","4","9"
"UD Almería                                                                                          ","2014",46,41,"Normal                                            ",65,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",54,"Normal                                            ",40,"Normal                                            ","Organised                                         ",37,"Medium                                            ",53,"Press                                             ",45,"Normal                                            ","Cover                                             ","7","10","20"
"UD Almería                                                                                          ","2015",46,41,"Normal                                            ",65,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",54,"Normal                                            ",40,"Normal                                            ","Organised                                         ",37,"Medium                                            ",53,"Press                                             ",45,"Normal                                            ","Cover                                             ","4","5","13"
"RSC Anderlecht                                                                                      ","2010",50,NULL,"Little                                            ",35,"Mixed                                             ","Organised                                         ",70,"Risky                                             ",50,"Normal                                            ",60,"Normal                                            ","Organised                                         ",70,"High                                              ",50,"Press                                             ",70,"Wide                                              ","Cover                                             ","5","23","3"
"RSC Anderlecht                                                                                      ","2011",50,NULL,"Little                                            ",52,"Mixed                                             ","Free Form                                         ",70,"Risky                                             ",50,"Normal                                            ",60,"Normal                                            ","Organised                                         ",70,"High                                              ",50,"Press                                             ",70,"Wide                                              ","Offside Trap                                      ","7","16","4"
"RSC Anderlecht                                                                                      ","2012",52,NULL,"Little                                            ",41,"Mixed                                             ","Organised                                         ",53,"Normal                                            ",57,"Normal                                            ",47,"Normal                                            ","Organised                                         ",45,"Medium                                            ",43,"Press                                             ",52,"Normal                                            ","Cover                                             ","7","24","2"
"RSC Anderlecht                                                                                      ","2013",52,NULL,"Little                                            ",41,"Mixed                                             ","Organised                                         ",68,"Risky                                             ",67,"Lots                                              ",47,"Normal                                            ","Organised                                         ",60,"Medium                                            ",43,"Press                                             ",65,"Normal                                            ","Cover                                             ","3","4","1"
"RSC Anderlecht                                                                                      ","2014",52,46,"Normal                                            ",51,"Mixed                                             ","Organised                                         ",60,"Normal                                            ",53,"Normal                                            ",47,"Normal                                            ","Organised                                         ",60,"Medium                                            ",50,"Press                                             ",65,"Normal                                            ","Cover                                             ","7","11","3"
"RSC Anderlecht                                                                                      ","2015",52,46,"Normal                                            ",51,"Mixed                                             ","Organised                                         ",60,"Normal                                            ",53,"Normal                                            ",47,"Normal                                            ","Organised                                         ",53,"Medium                                            ",50,"Press                                             ",61,"Normal                                            ","Cover                                             ","10","16","4"
"Angers SCO                                                                                          ","2010",45,NULL,"Little                                            ",35,"Mixed                                             ","Organised                                         ",35,"Normal                                            ",50,"Normal                                            ",60,"Normal                                            ","Organised                                         ",30,"Deep                                              ",55,"Press                                             ",30,"Narrow                                            ","Offside Trap                                      ","0","0","0"
"Angers SCO                                                                                          ","2011",65,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",50,"Normal                                            ",65,"Normal                                            ",65,"Normal                                            ","Organised                                         ",45,"Medium                                            ",45,"Press                                             ",50,"Normal                                            ","Cover                                             ","0","0","0"
"Angers SCO                                                                                          ","2012",50,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",52,"Normal                                            ",52,"Normal                                            ",48,"Normal                                            ","Organised                                         ",44,"Medium                                            ",44,"Press                                             ",51,"Normal                                            ","Cover                                             ","0","0","0"
"Angers SCO                                                                                          ","2013",50,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",52,"Normal                                            ",52,"Normal                                            ",48,"Normal                                            ","Organised                                         ",44,"Medium                                            ",44,"Press                                             ",51,"Normal                                            ","Cover                                             ","0","0","0"
"Angers SCO                                                                                          ","2014",48,61,"Normal                                            ",50,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",52,"Normal                                            ",48,"Normal                                            ","Organised                                         ",44,"Medium                                            ",44,"Press                                             ",51,"Normal                                            ","Cover                                             ","0","0","0"
"Angers SCO                                                                                          ","2015",48,61,"Normal                                            ",50,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",52,"Normal                                            ",48,"Normal                                            ","Organised                                         ",44,"Medium                                            ",44,"Press                                             ",51,"Normal                                            ","Cover                                             ","7","8","4"
"Arka Gdynia                                                                                         ","2010",30,NULL,"Little                                            ",45,"Mixed                                             ","Organised                                         ",45,"Normal                                            ",35,"Normal                                            ",70,"Lots                                              ","Organised                                         ",65,"Medium                                            ",70,"Double                                            ",70,"Wide                                              ","Cover                                             ","6","8","14"
"Arka Gdynia                                                                                         ","2011",46,NULL,"Little                                            ",37,"Mixed                                             ","Organised                                         ",33,"Safe                                              ",62,"Normal                                            ",52,"Normal                                            ","Organised                                         ",47,"Medium                                            ",48,"Press                                             ",45,"Normal                                            ","Cover                                             ","5","2","8"
"AC Arles-Avignon                                                                                    ","2010",50,NULL,"Little                                            ",65,"Mixed                                             ","Organised                                         ",30,"Safe                                              ",35,"Normal                                            ",30,"Little                                            ","Organised                                         ",30,"Deep                                              ",50,"Press                                             ",35,"Normal                                            ","Cover                                             ","5","1","13"
"AC Arles-Avignon                                                                                    ","2011",50,NULL,"Little                                            ",65,"Mixed                                             ","Organised                                         ",35,"Normal                                            ",35,"Normal                                            ",35,"Normal                                            ","Organised                                         ",25,"Deep                                              ",45,"Press                                             ",35,"Normal                                            ","Cover                                             ","6","2","11"
